Date,SPY,TSLA,FB,AAPL,MSFT,MCD,GOOG,AMZN,IWM,QQQ,TLT,CSCO,JNJ,KO,PEP,XOM,CVX,VZ,T,HD,WMT,JPM,C,GS,NFLX,AMD,INTC,MU,UNH,CI,BA,HD.1,BAC,SBUX,BABA
3/19/2015,209.50,195.65,82.75,127.50,42.29,95.98,556.46,373.24,124.89,108.08,130.82,28.26,101.69,40.02,94.10,84.41,104.75,49.30,33.20,115.16,81.52,61.20,52.38,189.97,60.74,2.74,30.74,28.05,120.76,128.10,154.11,115.16,15.61,48.88,85.74
3/20/2015,210.41,198.08,83.80,125.90,42.88,97.05,558.83,378.49,125.99,108.53,131.51,28.44,102.40,40.65,95.34,84.54,107.03,49.56,33.23,117.49,83.24,61.75,52.98,193.13,61.19,2.80,31.31,28.68,119.14,128.38,154.50,117.49,15.84,48.73,85.20
3/23/2015,210.00,199.63,84.43,127.21,42.86,98.62,557.28,375.11,125.88,108.32,131.35,28.41,102.98,40.62,95.85,85.43,105.92,49.64,33.28,116.07,83.31,61.14,52.48,191.96,60.71,2.84,31.20,28.02,119.04,128.42,152.81,116.07,15.72,48.69,84.25
3/24/2015,208.82,201.72,85.31,126.69,42.90,99.36,568.63,374.09,125.85,107.93,132.62,28.00,101.96,40.47,95.86,84.52,104.20,49.41,33.07,116.15,83.05,60.46,51.94,191.28,62.61,2.79,30.79,27.96,118.12,129.57,151.65,116.15,15.61,48.96,83.63
3/25/2015,205.76,194.30,82.92,123.38,41.46,98.14,557.26,370.96,122.47,105.46,131.50,27.46,100.34,40.45,95.26,84.86,105.67,48.73,32.62,113.68,81.32,59.61,51.38,187.35,60.25,2.63,29.89,26.57,116.54,126.91,148.23,113.68,15.41,47.88,83.75
3/26/2015,205.27,190.41,83.01,124.24,41.21,97.64,553.65,367.35,122.32,105.10,129.45,27.09,100.14,40.35,95.63,84.32,105.25,48.42,32.82,112.37,81.89,59.54,51.19,187.24,59.75,2.65,30.08,26.66,116.25,126.21,148.17,112.37,15.42,47.54,84.17
3/27/2015,205.74,185.00,83.30,123.25,40.97,96.96,546.84,370.56,123.10,105.52,131.06,27.13,100.34,40.08,95.95,83.58,104.28,48.56,32.75,113.86,81.35,59.55,51.00,188.06,59.25,2.72,32.00,26.68,118.01,128.98,148.85,113.86,15.31,47.54,84.58
3/30/2015,208.25,190.57,83.20,126.37,40.96,97.88,550.52,374.59,124.77,106.73,130.41,27.65,101.55,40.51,96.52,85.63,106.90,49.12,32.97,114.63,82.53,60.96,51.64,191.02,60.37,2.70,31.46,26.68,121.00,129.96,152.70,114.63,15.52,47.99,83.90
3/31/2015,206.43,188.77,82.22,124.43,40.66,97.44,546.50,372.10,124.37,105.60,130.69,27.53,100.60,40.55,95.62,85.00,104.98,48.63,32.65,113.61,82.25,60.58,51.52,187.97,59.53,2.68,31.27,27.13,118.29,129.44,150.08,113.61,15.39,47.35,83.24
4/1/2015,205.70,187.59,81.67,124.25,40.72,96.29,541.07,370.26,124.42,105.05,132.13,27.25,99.15,40.68,95.09,84.46,104.79,48.92,32.89,113.13,80.71,59.95,51.62,192.23,59.02,2.69,30.81,27.13,117.45,130.37,148.64,113.13,15.41,46.51,82.36
4/2/2015,206.44,191.00,81.56,125.32,40.29,95.83,534.06,372.25,124.65,105.12,130.73,27.13,99.64,40.68,95.69,84.30,105.28,49.47,33.13,114.54,80.73,60.52,51.86,191.55,59.15,2.69,30.81,26.73,117.36,130.47,149.28,114.54,15.54,47.20,82.28
4/6/2015,207.83,203.10,82.44,127.35,41.55,96.28,535.30,377.04,125.20,105.98,130.00,27.22,99.16,41.17,96.48,85.13,106.92,49.63,33.33,114.95,80.99,60.47,51.62,192.05,60.33,2.70,31.04,27.43,117.70,131.81,150.93,114.95,15.51,47.26,81.82
4/7/2015,207.28,203.25,82.32,126.01,41.53,96.35,535.55,374.41,124.40,105.80,131.09,27.39,100.10,41.01,96.21,85.75,108.54,49.27,33.16,114.30,80.50,60.85,51.52,192.39,60.49,2.70,31.26,26.87,117.35,129.88,152.32,114.30,15.46,47.04,82.21
